date,ticker,action,shares,price,value,reason
2026-07-05,RELIANCE.NS,BUY,1,1304.0,1304.0,Rebalance to target weight=0.026
2026-07-05,TCS.NS,BUY,1,2093.5,2093.5,Rebalance to target weight=0.026
2026-07-05,HDFCBANK.NS,BUY,3,801.05,2403.15,Rebalance to target weight=0.027
2026-07-05,HINDUNILVR.NS,BUY,1,2201.2,2201.2,Rebalance to target weight=0.025
2026-07-05,SUNPHARMA.NS,BUY,1,1904.8,1904.8,Rebalance to target weight=0.026
2026-07-05,TATASTEEL.NS,BUY,13,189.8,2467.4,Rebalance to target weight=0.026
2026-07-05,BHARTIARTL.NS,BUY,1,1910.4,1910.4,Rebalance to target weight=0.026
2026-07-05,NTPC.NS,BUY,7,356.45,2495.15,Rebalance to target weight=0.026
2026-07-05,DLF.NS,BUY,3,675.9,2027.7,Rebalance to target weight=0.026
2026-07-05,BEL.NS,BUY,6,418.05,2508.3,Rebalance to target weight=0.026
2026-07-05,PIDILITIND.NS,BUY,1,1598.0,1598.0,Rebalance to target weight=0.027
2026-07-05,COALINDIA.NS,BUY,5,438.7,2193.5,Rebalance to target weight=0.026
2026-07-05,CONCOR.NS,BUY,5,488.2,2441.0,Rebalance to target weight=0.026
2026-07-05,SBIN.NS,BUY,2,1040.0,2080.0,Rebalance to target weight=0.026
2026-07-05,BPCL.NS,BUY,8,308.15,2465.2,Rebalance to target weight=0.027
2026-07-05,IREDA.NS,BUY,20,128.49,2569.8,Rebalance to target weight=0.026
2026-07-05,LALPATHLAB.NS,BUY,1,1645.7,1645.7,Rebalance to target weight=0.027
2026-07-05,VOLTAS.NS,BUY,2,1280.2,2560.4,Rebalance to target weight=0.027
2026-07-05,ICICIBANK.NS,BUY,1,1411.4,1411.4,Rebalance to target weight=0.026
2026-07-05,JSWSTEEL.NS,BUY,2,1230.2,2460.4,Rebalance to target weight=0.026
2026-07-05,CIPLA.NS,BUY,1,1458.2,1458.2,Rebalance to target weight=0.026
