date,ticker,action,shares,price,value,reason
2026-07-05,HDFCBANK.NS,BUY,4,801.05,3204.2,Rebalance to target weight=0.036
2026-07-05,SUNPHARMA.NS,BUY,2,1904.8,3809.6,Rebalance to target weight=0.042
2026-07-05,BHARTIARTL.NS,BUY,1,1910.4,1910.4,Rebalance to target weight=0.037
2026-07-05,DLF.NS,BUY,6,675.9,4055.4,Rebalance to target weight=0.045
2026-07-05,TRENT.NS,BUY,1,3340.6,3340.6,Rebalance to target weight=0.061
2026-07-05,PIDILITIND.NS,BUY,3,1598.0,4794.0,Rebalance to target weight=0.048
2026-07-05,BPCL.NS,BUY,9,308.15,2773.35,Rebalance to target weight=0.030
2026-07-05,LALPATHLAB.NS,BUY,2,1645.7,3291.4,Rebalance to target weight=0.049
2026-07-05,ICICIBANK.NS,BUY,2,1411.4,2822.8,Rebalance to target weight=0.037
2026-07-05,M&M.NS,BUY,1,3136.9,3136.9,Rebalance to target weight=0.032
2026-07-05,ADANIENT.NS,BUY,3,3212.1,9636.3,Rebalance to target weight=0.097
2026-07-05,CIPLA.NS,BUY,3,1458.2,4374.6,Rebalance to target weight=0.047
2026-07-05,TATACOMM.NS,BUY,3,1906.7,5720.1,Rebalance to target weight=0.059
2026-07-06,BPCL.NS,SELL,9,308.15,2773.35,Rebalance to target weight=0.000
2026-07-06,ADANIENT.NS,SELL,1,3206.6,3206.6,Rebalance to target weight=0.095
2026-07-06,TATACOMM.NS,SELL,1,1892.0,1892.0,Rebalance to target weight=0.056
2026-07-06,AUBANK.NS,BUY,2,1061.4,2122.8,Rebalance to target weight=0.031
2026-07-07,SUNPHARMA.NS,SELL,1,1903.4,1903.4,Rebalance to target weight=0.038
2026-07-07,HDFCBANK.NS,BUY,1,829.3,829.3,Rebalance to target weight=0.042
2026-07-07,BPCL.NS,BUY,10,313.95,3139.5,Rebalance to target weight=0.032
2026-07-07,AUBANK.NS,BUY,1,1066.9,1066.9,Rebalance to target weight=0.034
2026-07-08,HDFCBANK.NS,SELL,5,810.3,4049.47,Nifty EMA-50 Circuit Breaker
2026-07-08,SUNPHARMA.NS,SELL,1,1888.2,1887.26,Nifty EMA-50 Circuit Breaker
2026-07-08,BHARTIARTL.NS,SELL,1,1888.1,1887.16,Nifty EMA-50 Circuit Breaker
2026-07-08,DLF.NS,SELL,6,634.0,3802.1,Nifty EMA-50 Circuit Breaker
2026-07-08,TRENT.NS,SELL,1,2924.0,2922.54,Nifty EMA-50 Circuit Breaker
2026-07-08,PIDILITIND.NS,SELL,3,1570.4,4708.84,Nifty EMA-50 Circuit Breaker
2026-07-08,LALPATHLAB.NS,SELL,2,1653.5,3305.35,Nifty EMA-50 Circuit Breaker
2026-07-08,ICICIBANK.NS,SELL,2,1380.6,2759.82,Nifty EMA-50 Circuit Breaker
2026-07-08,M&M.NS,SELL,1,3102.5,3100.95,Nifty EMA-50 Circuit Breaker
2026-07-08,ADANIENT.NS,SELL,2,3046.9,6090.75,Nifty EMA-50 Circuit Breaker
2026-07-08,CIPLA.NS,SELL,3,1431.8,4293.25,Nifty EMA-50 Circuit Breaker
2026-07-08,TATACOMM.NS,SELL,2,1886.2,3770.51,Nifty EMA-50 Circuit Breaker
2026-07-08,AUBANK.NS,SELL,3,1038.8,3114.84,Nifty EMA-50 Circuit Breaker
2026-07-08,BPCL.NS,SELL,10,303.55,3033.98,Nifty EMA-50 Circuit Breaker
